Subjects,Count Of Adverts
English,141
Mathematics,138
Arabic,44
Piano,39
Physics,36
Chemistry,34
Violin,30
Guitar,29
Biology,23
French,23
Finance,22
Science,20
Swimming,18
IELTS,17
Spanish,15
Statistics,15
Business Studies,14
Yoga and Pilates,13
Sciences,12
computer science/IT,11
Russian,11
German,10
Keyboard,8
ACCOUNTS,8
"C, C++",8
Economics,7
Python Programming,7
Geography,6
Project Management,6
Mental Maths,6
Business Training,6
History,6
Singing,6
Hip Hop Dancing,6
Saxophone,6
JAVA Technology,6
Data Structures,6
Programming Technology,5
Networking,5
Accounting,5
MATLAB,5
Drums,5
Computer / IT,5
Cyber Security,5
Drawing,5
Italian,5
Beautician Courses,5
Psychology,4
Quran,4
Electronics,4
Law,4
Chess,4
Social Studies,4
SAT,4
Coding & Programming,4
English literature,4
Electrical,3
Advanced Excel,3
Urdu,3
DJ Training,3
Gymnastics,3
Chemical,3
Mandarin,3
ACCA,3
Graphic design,3
ACT,3
Painting,3
TOEFL,3
Hindi,3
PHP And MySQL,3
Harmonica,3
Management Training,3
GED,2
Japanese,2
MS Office,2
Football,2
Modern Bollywood Dance,2
Robotics,2
Badminton,2
TEF Exam,2
Interior Design,2
3D Max / Maya,2
Belly Dance,2
Data Science,2
Sociology,2
Tabla,2
Marketing,2
Computer Science,2
Communicative English,2
Mechanical,2
Table Tennis,2
Civil,2
Western Dance,2
Business Finance,2
GRE,2
Islamic Studies,2
Indian Music,2
"MS Access, SQL",2
Engineering Subjects,2
Computer Basics,2
Music Theory,2
PTE,2
Environmental Scinece,2
Korean,2
Phonics,2
CFA,1
Quantitative Analysis,1
Physical Trainers,1
Humanities,1
"Film, media",1
SAP Training,1
SAP Certification,1
3D Animation,1
Ballroom Dancing,1
GMAT,1
Zumba,1
Pest Control Training,1
Video Editing,1
Horse Riding,1
CMA,1
Accountancy,1
Cello,1
Information Technology,1
Turkish,1
Home Science,1
Arts & Crafts,1
Data Analysis,1
CCNA Certification,1
Filipino,1
Medical,1
"Linux, UNIX",1
Customer Service,1
AutoCAD Training,1
MongoDB,1
Anatomy,1
DBMS & RDBMS,1
DELF Exam,1
Oud,1
Tally,1
Salsa,1
Website design,1
Zouk,1
SAS Certifications,1
Squash,1
Ballet Dancing,1
Waltz,1
Public Speaking,1
Indian Dancing,1
Photoshop,1
Photography,1
Special Education,1
Instrumental,1
Biochemistry,1
Chinese,1
Flute,1
Volleyball,1
Tamil,1
